"id","air_conditioning","amenities","balconies","barrier_free_accessibilty_entr","bike_parking","exterior_fire_escape","fire_alarm","garbage_chutes","heating_type","intercom","laundry_room","locker_or_storage_room","no_of_elevators","parking_type","pets_allowed","prop_management_company_name","property_type","rsn","separate_gas_meters","separate_hydro_meters","separate_water_meters","site_address","sprinkler_system","visitor_parking","ward","window_type","year_built","year_registered","no_of_storeys","emergency_power","non-smoking_building","no_of_units","no_of_accessible_parking_spaces","facilities_available","cooling_room","no_barrier_free_accessible_units","age_build"
12014,NA,NA,NA,NA,"indoor parking spots and  outdoor parking spots",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"PRIVATE",4495076,NA,NA,NA,"7  BIRCHLEA AVE",NA,NA,"03","DOUBLE PANE",1955,NA,3,NA,NA,13,NA,"Not Available",NA,NA,"Post 1950"
12015,"CENTRAL AIR",NA,"NO","YES","0 indoor parking spots and 16 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",1,"Surface Parking","YES","WIGWAMEN INCORPORATED","SOCIAL HOUSING",4480446,"NO","NO","NO","55  THORA AVE","YES","UNAVAILABLE","20","DOUBLE PANE",2016,2019,4,"NO","NO",20,1,"Green Bin / Organics","YES",0,"Post 1950"
12016,"CENTRAL AIR","Indoor recreation room","NO","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Surface Parking","YES","GREENWIN INC.","SOCIAL HOUSING",4333863,"NO","NO","NO","2877 A  ELLESMERE RD","YES","FREE","24","DOUBLE PANE",1976,2018,12,"YES","NO",126,6,"Green Bin / Organics","YES",11,"Post 1950"
12017,"NONE","Indoor recreation room , Outdoor rec facilities , Indoor exercise room","YES","YES","20 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",5,"Underground Garage , Ground Level Garage , Garage accessible thru buildg","YES","MEDALLION CORPORATION","PRIVATE",4333368,"NO","YES","NO","545  SHERBOURNE ST","YES","PAID","13","DOUBLE PANE",1977,2018,30,"YES","NO",300,0,"Green Bin / Organics","NO",0,"Post 1950"
12018,"NONE",NA,"NO","NO","0 indoor parking spots and 15 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage , Carport , Surface Parking","YES","BLOORVIEW INVESTMENTS","PRIVATE",4152920,"NO","YES","NO","35  JANE ST","NO","UNAVAILABLE","04","DOUBLE PANE",1910,2017,3,"YES","NO",18,10,"Green Bin / Organics","NO",0,"Pre 1935"
12019,"NONE",NA,"YES","NO","50 indoor parking spots and 5 outdoor parking spots","NO","YES","YES","ELECTRIC","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","SIGNET GROUP INC","PRIVATE",4153528,"NO","NO","NO","89  ISABELLA ST","YES","BOTH","13","SINGLE PANE",1959,2017,13,"NO","NO",76,0,"Green Bin / Organics","NO",0,"Post 1950"
12020,"NONE",NA,"YES","YES","20 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","HOLLYBURN PROPERTIES LTD","PRIVATE",4153541,"NO","YES","NO","48  ISABELLA ST","YES","FREE","13","DOUBLE PANE",1960,2017,10,"NO","NO",84,0,"Green Bin / Organics","NO",0,"Post 1950"
12021,"NONE","Indoor recreation room","NO","YES","Not Available","NO","YES","YES","ELECTRIC","YES","YES","NO",1,"Surface Parking","YES",NA,"SOCIAL HOUSING",4153552,"NO","NO","NO","841  QUEEN ST E","YES","FREE","14","DOUBLE PANE",1988,2017,3,"NO","NO",36,0,"Green Bin / Organics","NO",9,"Post 1950"
12022,"NONE",NA,"YES","NO","0 indoor parking spots and 8 outdoor parking spots","YES","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage , Surface Parking","YES","JONUS HOLDINGS INC","PRIVATE",4154087,"NO","NO","NO","125  COSBURN AVE","NO","UNAVAILABLE","14","SINGLE PANE",1960,2017,4,"NO","NO",30,20,"Green Bin / Organics","NO",0,"Post 1950"
12023,"NONE",NA,"YES","YES","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Ground Level Garage , Surface Parking","YES",NA,"PRIVATE",4154089,"NO","NO","NO","149  COSBURN AVE","NO","FREE","14","DOUBLE PANE",1958,2017,4,"NO","NO",29,12,"Green Bin / Organics","NO",1,"Post 1950"
12024,"NONE","Indoor recreation room , Outdoor rec facilities , Child play area","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"TCHC",4152924,"NO","NO","NO","77  RANKIN CRES","YES","BOTH","09","DOUBLE PANE",1992,2017,7,"YES","YES",121,6,"Recycling bins","NO",2,"Post 1950"
12025,"NONE",NA,"YES","YES","40 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Ground Level Garage , Garage accessible thru buildg","YES","VERTICA RESIDENT SERVICES","PRIVATE",4152934,"NO","YES","NO","77  QUEBEC AVE","YES","UNAVAILABLE","04","DOUBLE PANE",1969,2017,21,"YES","NO",330,3,"Green Bin / Organics","YES",0,"Post 1950"
12026,"INDIVIDUAL UNITS",NA,"YES","YES","0 indoor parking spots and 4 outdoor parking spots","NO","YES","NO","HOT WATER","YES","NO","NO",2,"Underground Garage","YES",NA,"PRIVATE",4153584,"NO","YES","NO","321  SHERBOURNE ST","YES","FREE","13","DOUBLE PANE",1960,2017,7,"YES","NO",67,0,"Recycling bins","YES",0,"Post 1950"
12027,"INDIVIDUAL UNITS",NA,"YES","NO","0 indoor parking spots and 8 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",1,"Ground Level Garage","YES","AKELIUS CANADA LTD","PRIVATE",4152962,"NO","YES","NO","77  SPENCER AVE","YES","UNAVAILABLE","04","DOUBLE PANE",1952,2017,6,"NO","NO",56,0,"Recycling bins","NO",0,"Post 1950"
12028,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",1,"Underground Garage","YES","TIMBERCREEK COMMUNITIES","PRIVATE",4152971,"NO","YES","NO","100  TYNDALL AVE","YES","UNAVAILABLE","04","SINGLE PANE",1965,2018,6,"NO","NO",48,0,"Recycling bins","NO",0,"Post 1950"
12029,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","ELECTRIC","YES","YES","YES",2,"Underground Garage , Ground Level Garage , Garage accessible thru buildg","YES","RANEE MANAGEMENT","PRIVATE",4152972,"NO","NO","NO","90  TYNDALL AVE","YES","FREE","04","DOUBLE PANE",1962,2017,18,"NO","NO",120,0,"Green Bin / Organics","NO",0,"Post 1950"
12030,"INDIVIDUAL UNITS",NA,"NO","NO","Not Available","YES","YES","NO","HOT WATER","NO","YES","NO",0,"Surface Parking","YES",NA,"PRIVATE",4152977,"NO","YES","NO","137  DUNN AVE","NO","UNAVAILABLE","04","DOUBLE PANE",1959,2017,4,"NO","YES",21,6,"Green Bin / Organics","NO",0,"Post 1950"
12031,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage","YES","METCAP LIVING MANAGEMENT INC.","PRIVATE",4152980,"NO","YES","NO","87  JAMESON AVE","YES","FREE","04","DOUBLE PANE",1959,2017,9,"YES","NO",91,0,"Recycling bins","NO",0,"Post 1950"
12032,"NONE","Indoor recreation room","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Surface Parking","YES",NA,"TCHC",4153615,"NO","NO","NO","80  DANFORTH AVE","YES","PAID","14","DOUBLE PANE",1978,2017,5,"YES","YES",131,2,"Recycling bins","NO",4,"Post 1950"
12033,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Surface Parking","YES",NA,"PRIVATE",4153618,"NO","YES","NO","852  BROADVIEW AVE","YES","FREE","14","DOUBLE PANE",1960,2018,4,"YES","NO",21,10,"Recycling bins","NO",NA,"Post 1950"
12034,"CENTRAL AIR","Indoor recreation room","YES","NO","Not Available","NO","YES","NO","ELECTRIC","YES","YES","YES",0,NA,"YES","MAINSTAY HOUSING","SOCIAL HOUSING",4153620,"NO","NO","NO","970  EASTERN AVE","YES","UNAVAILABLE","14","DOUBLE PANE",1989,2017,4,"NO","NO",14,0,"Green Bin / Organics","NO",0,"Post 1950"
12035,"NONE","Indoor recreation room","YES","YES","10 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","ELECTRIC","YES","YES","NO",0,NA,"YES",NA,"SOCIAL HOUSING",4153621,"NO","NO","NO","137  SEARS ST","YES","UNAVAILABLE","14","DOUBLE PANE",1995,2017,3,"NO","YES",17,0,"Green Bin / Organics","NO",0,"Post 1950"
12036,"CENTRAL AIR","Indoor recreation room , Indoor exercise room","YES","YES","100 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",4,"Underground Garage , Garage accessible thru buildg , Carport","YES","MEDALLION CORP","PRIVATE",4333386,"NO","YES","YES","561  SHERBOURNE ST","YES","PAID","YY","DOUBLE PANE",2018,2019,43,"YES","NO",369,18,"Green Bin / Organics","YES",41,"Post 1950"
12037,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Ground Level Garage , Surface Parking","YES","DMS PROPERTY MANAGEMENT LTD","PRIVATE",4329040,"NO","YES","NO","18  ROSSEAU RD","NO","UNAVAILABLE","06","DOUBLE PANE",1949,2018,3,"NO","NO",11,0,"Green Bin / Organics","NO",0,"1935-1950"
12038,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Ground Level Garage , Surface Parking","YES","DMS PROPERTY MANAGEMENT LTD","PRIVATE",4327367,"NO","YES","NO","12  ROSSEAU RD","NO","UNAVAILABLE","06","DOUBLE PANE",1949,2018,3,"NO","NO",11,0,"Green Bin / Organics","NO",0,"1935-1950"
12039,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage","NO","NIVIST DEVELOPMENTS LTD","PRIVATE",4457107,"NO","YES","NO","1153  O'CONNOR DR","YES","UNAVAILABLE","19","DOUBLE PANE",1953,2019,3,"NO","YES",11,6,"Green Bin / Organics","NO",NA,"Post 1950"
12040,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,NA,"YES","GOWAN PROPERTY MANAGEMENT","PRIVATE",4415827,"NO","NO","NO","438  JARVIS ST","NO","UNAVAILABLE","13","DOUBLE PANE",1928,2018,3,"YES","YES",30,NA,"Recycling bins","NO",NA,"Pre 1935"
12041,"NONE",NA,"YES","NO","Not Available","YES","YES","NO","HOT WATER","YES","YES","NO",0,NA,"YES","SMARTSELL MARKETING","PRIVATE",4287030,"YES","YES","NO","193  DOWLING AVE","YES","UNAVAILABLE","04","SINGLE PANE",1917,2018,5,"NO","NO",16,0,"Green Bin / Organics","NO",0,"Pre 1935"
12042,"NONE","Outdoor pool , Outdoor rec facilities","NO","NO","Not Available","NO","YES","YES","FORCED AIR GAS","YES","YES","YES",1,"Underground Garage","YES","TIMES GROUP","PRIVATE",4286226,"NO","YES","NO","55  BROADWAY AVE","YES","UNAVAILABLE","12","DOUBLE PANE",1956,2017,4,"NO","NO",59,72,"Recycling bins","NO",0,"Post 1950"
12043,"NONE",NA,"NO","NO","0 indoor parking spots and 9 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",0,NA,"YES","WESTWOOD HOLDINGS INC.","PRIVATE",4288787,"NO","YES","NO","2405  QUEEN ST E","NO","UNAVAILABLE","19","DOUBLE PANE",1920,2017,3,"NO","NO",23,0,"Green Bin / Organics","NO",0,"Pre 1935"
12044,"NONE",NA,"NO","NO","0 indoor parking spots and 9 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",0,NA,"YES","WESTWOOD HOLDINGS INC.","PRIVATE",4288799,"NO","YES","NO","2393  QUEEN ST E","NO","UNAVAILABLE","19","SINGLE PANE",1920,2017,3,"NO","NO",23,0,"Green Bin / Organics","NO",0,"Pre 1935"
12045,"NONE",NA,"NO","NO","16 indoor parking spots and 0 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage","YES","LAW PROPERTY MANAGEMENT","PRIVATE",4287729,"NO","NO","NO","470  SUMMERHILL AVE","NO","UNAVAILABLE","11","DOUBLE PANE",1952,2018,3,"NO","NO",17,0,"Green Bin / Organics","NO",0,"Post 1950"
12046,"NONE",NA,"NO","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",1,"Ground Level Garage , Surface Parking","YES","TCH","TCHC",4286257,"NO","NO","NO","69  HOLLY ST","YES","BOTH","12","DOUBLE PANE",1969,2018,4,"NO","YES",14,2,"Green Bin / Organics","NO",2,"Post 1950"
12047,"NONE",NA,"NO","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",1,"Surface Parking","NO","TCH","TCHC",4286261,"NO","NO","NO","2755  YONGE ST","YES","PAID","15","SINGLE PANE",1990,2017,4,"YES","YES",41,1,"Green Bin / Organics","NO",1,"Post 1950"
12048,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Surface Parking","YES",NA,"PRIVATE",4290959,"NO","YES","NO","25  ELIZABETH ST","YES","UNAVAILABLE","03","DOUBLE PANE",1962,2018,3,"YES","YES",29,NA,"Green Bin / Organics","NO",0,"Post 1950"
12049,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,NA,"YES","NJS CAPITAL MANAGEMENT","PRIVATE",4620278,"NO","YES","NO","915  ST CLAIR AVE W","NO","UNAVAILABLE","09","SINGLE PANE",1929,2019,3,"NO","YES",18,0,"Green Bin / Organics","NO",NA,"Pre 1935"
12050,"NONE",NA,"NO","YES","0 indoor parking spots and 10 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Surface Parking","NO","WINZEN CORPORATION","PRIVATE",4155772,"YES","YES","YES","2407  LAKE SHORE BLVD W","NO","UNAVAILABLE","03","DOUBLE PANE",1951,2017,3,"NO","YES",22,1,"Green Bin / Organics","NO",5,"Post 1950"
12051,"CENTRAL AIR","Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Child play area","YES","YES","40 indoor parking spots and 10 outdoor parking spots","NO","YES","YES","FORCED AIR GAS","YES","NO","YES",3,"Underground Garage , Garage accessible thru buildg","YES","CONCERT REALTY SERVICES LTD.","PRIVATE",4155779,"NO","YES","YES","11  DUNBLOOR RD","YES","PAID","03","DOUBLE PANE",2007,2017,22,"YES","NO",278,3,"Green Bin / Organics","YES",0,"Post 1950"
12052,"NONE","Indoor recreation room","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","TCH","TCHC",4155787,"NO","NO","NO","10  BOULTBEE AVE","YES","PAID","14","DOUBLE PANE",2001,2017,11,"YES","YES",167,6,"Green Bin / Organics","NO",4,"Post 1950"
12053,"CENTRAL AIR","Indoor recreation room","NO","YES","0 indoor parking spots and 48 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg","YES","DMS PROPERTY MANAGEMENT LTD.","SOCIAL HOUSING",4168942,"NO","YES","NO","345  DUFFERIN ST","YES","FREE","10","DOUBLE PANE",1984,2017,8,"YES","YES",200,3,"Green Bin / Organics","YES",10,"Post 1950"
12054,"CENTRAL AIR",NA,"NO","NO","Not Available","YES","YES","NO","FORCED AIR GAS","YES","YES","YES",0,"Surface Parking","YES","SHELBORNE CAPITAL CORP","PRIVATE",4169173,"NO","NO","NO","1685  EGLINTON AVE W","YES","UNAVAILABLE","12","DOUBLE PANE",1960,2017,3,"NO","NO",38,12,"Recycling bins","NO",0,"Post 1950"
12055,"CENTRAL AIR","Indoor recreation room , Outdoor rec facilities , Indoor exercise room","YES","YES","435 indoor parking spots and 36 outdoor parking spots","NO","YES","NO","HOT WATER","YES","NO","YES",5,"Underground Garage , Garage accessible thru buildg","YES","CONCERT REALTY SERVICES LTD.","PRIVATE",4171374,"NO","YES","YES","570  BAY ST","YES","PAID","10","DOUBLE PANE",2013,2017,29,"YES","NO",463,6,"Green Bin / Organics","YES",38,"Post 1950"
12056,"NONE","Indoor recreation room","YES","NO","15 indoor parking spots and 0 outdoor parking spots","YES","YES","NO","HOT WATER","YES","YES","YES",1,"Ground Level Garage","YES","GREENWIN INC.","PRIVATE",4152571,"NO","YES","NO","1200  KINGSTON RD","YES","UNAVAILABLE","20","DOUBLE PANE",1956,2017,5,"YES","NO",61,0,"Recycling bins","NO",0,"Post 1950"
12057,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Surface Parking , Parking Deck","YES","AKELIUS CANADA LTD","PRIVATE",4152575,"NO","YES","NO","1420  KINGSTON RD","YES","UNAVAILABLE","20","DOUBLE PANE",1955,2018,4,"NO","YES",36,0,"Recycling bins","NO",0,"Post 1950"
12058,"NONE",NA,"YES","NO","0 indoor parking spots and 6 outdoor parking spots","YES","YES","NO","HOT WATER","YES","YES","YES",0,"Underground Garage","YES","RYERS MANAGEMENT LIMITED","PRIVATE",4153366,"NO","YES","NO","400  AVENUE RD","YES","UNAVAILABLE","12","DOUBLE PANE",1926,2017,4,"NO","NO",40,11,"Green Bin / Organics","NO",0,"Pre 1935"
12059,"CENTRAL AIR","Indoor recreation room , Indoor exercise room , Sauna","YES","YES","24 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","NO","YES",2,"Underground Garage , Garage accessible thru buildg","YES","VERTICA RESIDENT SERVICES","PRIVATE",4153379,"NO","YES","NO","525  RICHMOND ST W","YES","UNAVAILABLE","10","DOUBLE PANE",2003,2017,10,"YES","NO",103,3,"Recycling bins","YES",0,"Post 1950"
12060,"NONE",NA,"NO","NO","Not Available","YES","YES","NO","HOT WATER","YES","YES","NO",0,NA,"YES",NA,"PRIVATE",4153922,"NO","YES","NO","57  LAWTON BLVD","NO","UNAVAILABLE","12","DOUBLE PANE",1929,2018,4,"NO","YES",12,0,"Green Bin / Organics","NO",0,"Pre 1935"
12061,"NONE",NA,"NO","NO","Not Available","YES","YES","NO","ELECTRIC","YES","YES","YES",1,"Underground Garage , Garage accessible thru buildg","YES","AKELIUS CANADA LTD.","PRIVATE",4153936,"NO","YES","NO","110  ORIOLE PKWY","YES","UNAVAILABLE","12","DOUBLE PANE",1938,2019,4,"NO","YES",33,0,"Green Bin / Organics","NO",0,"1935-1950"
12062,"NONE",NA,"NO","NO","6 indoor parking spots and 0 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","IMTRADEX CORP","PRIVATE",4153946,"NO","YES","NO","779  EGLINTON AVE W","NO","UNAVAILABLE","12","DOUBLE PANE",1930,2017,3,"NO","YES",17,7,"Green Bin / Organics","NO",0,"Pre 1935"
12063,"NONE",NA,"YES","NO","0 indoor parking spots and 10 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","NO",3,"Underground Garage , Garage accessible thru buildg","YES","BERNADA PROPERTIES","PRIVATE",4153403,"NO","YES","NO","50  STEPHANIE ST","YES","FREE","10","DOUBLE PANE",1966,2017,24,"YES","NO",284,0,"Recycling bins","NO",0,"Post 1950"
12064,"NONE",NA,"YES","NO","0 indoor parking spots and 10 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Ground Level Garage , Surface Parking","YES","AKELIUS CANADA LTD","PRIVATE",4153421,"NO","YES","NO","160  HURON ST","YES","UNAVAILABLE","11","DOUBLE PANE",1805,2017,5,"NO","YES",69,0,"Recycling bins","NO",0,"Pre 1935"
12065,"NONE",NA,"YES","NO","50 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg","YES",NA,"PRIVATE",4153954,"NO","NO","NO","21  MAYFAIR AVE","YES","FREE","08","DOUBLE PANE",1962,2017,11,"YES","YES",138,0,"Green Bin / Organics","NO",0,"Post 1950"
12066,"NONE",NA,"YES","NO","20 indoor parking spots and 14 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg","YES","CAPREIT","PRIVATE",4153956,"NO","YES","YES","20  SHALLMAR BLVD","YES","FREE","08","SINGLE PANE",1963,2017,11,"YES","NO",155,2,"Green Bin / Organics","NO",0,"Post 1950"
12067,"INDIVIDUAL UNITS","Indoor recreation room , Child play area","YES","YES","Not Available","NO","YES","YES","ELECTRIC","YES","YES","YES",2,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"SOCIAL HOUSING",4152677,"NO","NO","NO","835-841  BIRCHMOUNT RD","NO","BOTH","20","THERMAL",1992,2017,6,"YES","NO",102,11,"Green Bin / Organics","YES",13,"Post 1950"
12068,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",1,"Surface Parking","YES","YAD INVESTMENTS LTD","PRIVATE",4152680,"NO","NO","NO","2231  EGLINTON AVE E","YES","FREE","20","DOUBLE PANE",1958,2017,6,"YES","NO",110,0,"Green Bin / Organics","NO",0,"Post 1950"
12069,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Ground Level Garage , Surface Parking","YES","GOLD SEAL MANAGEMENT INC.","PRIVATE",4154280,"NO","YES","NO","11  GULLIVER RD","YES","FREE","05","DOUBLE PANE",1966,2017,6,"NO","NO",42,2,"Recycling bins","NO",0,"Post 1950"
12070,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Ground Level Garage , Surface Parking","NO",NA,"PRIVATE",4154281,"NO","YES","NO","17  GULLIVER RD","YES","FREE","05","DOUBLE PANE",1960,2017,6,"NO","YES",42,0,"Green Bin / Organics","NO",0,"Post 1950"
12071,"NONE","Indoor recreation room , Child play area","YES","YES","Not Available","YES","YES","YES","ELECTRIC","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","NO",NA,"SOCIAL HOUSING",4154290,"NO","NO","NO","2214  KEELE ST","YES","FREE","05","DOUBLE PANE",1992,2017,7,"NO","NO",89,2,"Green Bin / Organics","YES",1,"Post 1950"
12072,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Ground Level Garage , Surface Parking","YES",NA,"PRIVATE",4154291,"NO","YES","NO","2110  KEELE ST","YES","FREE","05","DOUBLE PANE",1961,2017,9,"YES","NO",93,1,"Green Bin / Organics","NO",0,"Post 1950"
12073,"NONE",NA,"YES","NO","35 indoor parking spots and 0 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Ground Level Garage , Surface Parking","NO","CANAL PROPERTY MANAGEMENT","PRIVATE",4154294,"NO","YES","NO","26  GULLIVER RD","NO","FREE","05","DOUBLE PANE",1963,2017,6,"YES","YES",53,1,"Recycling bins","NO",0,"Post 1950"
12074,"NONE","Outdoor rec facilities , Child play area","YES","YES","0 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","ELECTRIC","YES","YES","NO",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","TIMBERCREEK COMMUNITIES","PRIVATE",4154299,"NO","YES","NO","1577  LAWRENCE AVE W","YES","PAID","05","DOUBLE PANE",1970,2018,15,"NO","NO",350,2,"Recycling bins","NO",0,"Post 1950"
12075,"NONE",NA,"NO","NO","Not Available","YES","YES","NO","HOT WATER","YES","YES","YES",0,"Underground Garage , Ground Level Garage","YES",NA,"PRIVATE",4154300,"NO","NO","NO","2370  KEELE ST","YES","FREE","05","DOUBLE PANE",1957,2017,4,"YES","NO",46,0,"Green Bin / Organics","NO",0,"Post 1950"
12076,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage , Surface Parking","YES",NA,"PRIVATE",4154306,"NO","YES","NO","2421  KEELE ST","NO","UNAVAILABLE","05","DOUBLE PANE",1953,2017,3,"NO","YES",12,11,"Green Bin / Organics","NO",0,"Post 1950"
12077,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage , Surface Parking","YES",NA,"PRIVATE",4154307,"NO","YES","NO","2423  KEELE ST","NO","UNAVAILABLE","05","DOUBLE PANE",1954,2017,3,"NO","YES",12,11,"Green Bin / Organics","NO",0,"Post 1950"
